AK,188,650,626932,34
AL,878,540,4447100,28
AR,736,494,2673400,35
AZ,296,482,5130632,35
CA,112,352,33871648,37
CO,440,366,4301261,33
CT,1152,240,3405565,46
DE,1112,332,783600,33
FL,1020,662,15982378,33
GA,956,534,8186453,39
HI,464,760,1211537,45
IA,714,294,2926324,29
ID,286,202,1293953,28
IL,810,336,12419293,37
IN,874,330,6080485,36
KS,604,388,2688418,30
KY,906,406,4041769,31
LA,742,604,4468976,31
MA,1162,216,6349097,44
MD,1076,324,5296486,52
ME,1190,118,1274923,39
MI,892,240,9938444,39
MN,678,172,4919479,47
MO,730,394,5595211,35
MS,812,548,2844658,29
MT,388,122,902195,29
NC,1038,442,8049313,37
ND,566,130,642200,10
NE,572,302,1711263,39
NH,1160,178,1235786,42
NJ,1122,286,8414350,37
NM,416,490,1819046,26
NV,204,314,1998257,35
NY,1082,214,18976457,38
OH,944,320,11353140,39
OK,618,478,3450654,34
OR,148,172,3421399,44
PA,1046,288,12281054,39
RI,1178,234,1048319,40
SC,1012,502,4012012,34
SD,572,218,754844,29
TN,882,458,5689283,34
TX,582,598,20851820,29
UT,308,342,2233169,34
VA,1058,378,7078515,45
VT,1134,172,608827,45
WA,184,76,5894121,47
WI,784,206,5363675,39
WV,992,356,1808344,32
WY,414,250,493782,36